n,bubble,select,insert,merge,quick,heap
500,0,0,0,1,0,0
1000,2,1,1,0,0,0
2000,6,6,2,1,1,1
5000,38,30,16,1,0,1
10000,165,119,231,3,1,2
15000,583,274,319,5,2,4
20000,918,472,1385,5,3,5
25000,1578,746,857,7,3,5
30000,2253,1702,636,9,4,7
35000,3083,1571,833,10,4,9
40000,4296,2002,1051,11,5,10
